date_id,year,month,quarter,day_of_week_name,day_type
1,1989,1,1,Friday,Weekday
2,1989,1,1,Friday,Weekend
3,1989,1,1,Monday,Weekend
4,1989,1,1,Monday,Weekday
5,1989,1,1,Saturday,Weekend
6,1989,1,1,Sunday,Weekend
7,1989,1,1,Thursday,Weekday
8,1989,1,1,Tuesday,Weekday
9,1989,1,1,Wednesday,Weekday
10,1989,2,1,Friday,Weekday
11,1989,2,1,Friday,Weekend
12,1989,2,1,Monday,Weekend
13,1989,2,1,Monday,Weekday
14,1989,2,1,Saturday,Weekend
15,1989,2,1,Sunday,Weekend
16,1989,2,1,Thursday,Weekday
17,1989,2,1,Tuesday,Weekday
18,1989,2,1,Wednesday,Weekday
19,1989,3,1,Friday,Weekday
20,1989,3,1,Friday,Weekend
21,1989,3,1,Monday,Weekend
22,1989,3,1,Monday,Weekday
23,1989,3,1,Saturday,Weekend
24,1989,3,1,Sunday,Weekend
25,1989,3,1,Thursday,Weekday
26,1989,3,1,Tuesday,Weekday
27,1989,3,1,Wednesday,Weekday
28,1989,4,2,Friday,Weekday
29,1989,4,2,Friday,Weekend
30,1989,4,2,Monday,Weekend
31,1989,4,2,Monday,Weekday
32,1989,4,2,Saturday,Weekend
33,1989,4,2,Sunday,Weekend
34,1989,4,2,Thursday,Weekday
35,1989,4,2,Tuesday,Weekday
36,1989,4,2,Wednesday,Weekday
37,1989,5,2,Friday,Weekday
38,1989,5,2,Friday,Weekend
39,1989,5,2,Monday,Weekend
40,1989,5,2,Monday,Weekday
41,1989,5,2,Saturday,Weekend
42,1989,5,2,Sunday,Weekend
43,1989,5,2,Thursday,Weekday
44,1989,5,2,Tuesday,Weekday
45,1989,5,2,Wednesday,Weekday
46,1989,6,2,Friday,Weekday
47,1989,6,2,Friday,Weekend
48,1989,6,2,Monday,Weekend
49,1989,6,2,Monday,Weekday
50,1989,6,2,Saturday,Weekend
51,1989,6,2,Sunday,Weekend
52,1989,6,2,Thursday,Weekday
53,1989,6,2,Tuesday,Weekday
54,1989,6,2,Wednesday,Weekday
55,1989,7,3,Friday,Weekday
56,1989,7,3,Friday,Weekend
57,1989,7,3,Monday,Weekend
58,1989,7,3,Monday,Weekday
59,1989,7,3,Saturday,Weekend
60,1989,7,3,Sunday,Weekend
61,1989,7,3,Thursday,Weekday
62,1989,7,3,Tuesday,Weekday
63,1989,7,3,Wednesday,Weekday
64,1989,8,3,Friday,Weekday
65,1989,8,3,Friday,Weekend
66,1989,8,3,Monday,Weekend
67,1989,8,3,Monday,Weekday
68,1989,8,3,Saturday,Weekend
69,1989,8,3,Sunday,Weekend
70,1989,8,3,Thursday,Weekday
71,1989,8,3,Tuesday,Weekday
72,1989,8,3,Wednesday,Weekday
73,1989,9,3,Friday,Weekday
