location_id,state,lga_name,sa4_name,remoteness_area,population_2023_lga,population_2023_remoteness,dwelling_records
1,NSW,Wagga Wagga,Riverina,Inner Regional Australia,68716.0,4683975.0,28244.0
2,NSW,Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,Inner Regional Australia,68156.0,4683975.0,25523.0
3,Tas,Northern Midlands,Launceston and North East,Inner Regional Australia,14279.0,4683975.0,6444.0
4,NSW,Armidale Regional,New England and North West,Outer Regional Australia,,2119123.0,12955.0
5,Qld,Lockyer Valley,Toowoomba,Inner Regional Australia,43847.0,4683975.0,16162.0
6,SA,Wakefield,Barossa - Yorke - Mid North,Outer Regional Australia,6958.0,2119123.0,3348.0
7,WA,Unknown,Unknown,Unknown,,,
8,Qld,Southern Downs,Darling Downs - Maranoa,Inner Regional Australia,37444.0,4683975.0,17447.0
9,Tas,Brighton,Hobart,Inner Regional Australia,19998.0,4683975.0,7530.0
10,Tas,West Tamar,Launceston and North East,Outer Regional Australia,26039.0,2119123.0,11308.0
11,SA,Mid Murray,South Australia - South East,Outer Regional Australia,9496.0,2119123.0,7413.0
12,NSW,Blue Mountains,Sydney - Outer West and Blue Mountains,Major Cities of Australia,78446.0,19343743.0,35239.0
13,NSW,Upper Lachlan,Capital Region,Inner Regional Australia,8706.0,4683975.0,
14,SA,Wattle Range,South Australia - South East,Outer Regional Australia,12257.0,2119123.0,6114.0
15,Qld,Cairns,Cairns,Outer Regional Australia,175398.0,2119123.0,72620.0
16,NSW,Wollongong,Illawarra,Major Cities of Australia,219141.0,19343743.0,89476.0
17,NSW,Penrith,Sydney - Outer West and Blue Mountains,Major Cities of Australia,224483.0,19343743.0,81250.0
18,NSW,Upper Hunter,Hunter Valley exc Newcastle,Outer Regional Australia,14338.0,2119123.0,
19,Qld,South Burnett,Wide Bay,Outer Regional Australia,34290.0,2119123.0,16096.0
20,NSW,Mid-Western Regional,Central West,Outer Regional Australia,,2119123.0,12262.0
21,NSW,Canterbury-Bankstown,Sydney - Inner South West,Major Cities of Australia,379829.0,19343743.0,133438.0
22,Vic,Mitchell,Hume,Inner Regional Australia,53723.0,4683975.0,19590.0
23,NSW,Greater Hume,Murray,Outer Regional Australia,11445.0,2119123.0,
24,Qld,Southern Downs,Darling Downs - Maranoa,Outer Regional Australia,37444.0,2119123.0,17447.0
25,SA,Barossa,Barossa - Yorke - Mid North,Inner Regional Australia,26268.0,4683975.0,11044.0
26,NSW,Port Macquarie-Hastings,Mid North Coast,Inner Regional Australia,89596.0,4683975.0,40066.0
27,Qld,Douglas,Cairns,Outer Regional Australia,12828.0,2119123.0,6981.0
28,Qld,Mackay,Mackay - Isaac - Whitsunday,Outer Regional Australia,126907.0,2119123.0,52308.0
29,SA,Yankalilla,South Australia - South East,Inner Regional Australia,6100.0,4683975.0,4403.0
30,Qld,Logan,Logan - Beaudesert,Major Cities of Australia,377773.0,19343743.0,125977.0
31,Tas,Dorset,Launceston and North East,Outer Regional Australia,7001.0,2119123.0,3948.0
32,NSW,Armidale Regional,New England and North West,Inner Regional Australia,,4683975.0,12955.0
33,NSW,Nambucca Valley,Mid North Coast,Inner Regional Australia,20774.0,4683975.0,10016.0
34,NSW,Narromine,Far West and Orana,Outer Regional Australia,6443.0,2119123.0,2851.0
35,Qld,Fraser Coast,Wide Bay,Inner Regional Australia,117940.0,4683975.0,52621.0
36,SA,Unincorporated SA,South Australia - Outback,Very Remote Australia,3015.0,198024.0,2910.0
37,NSW,Shellharbour,Illawarra,Major Cities of Australia,79738.0,19343743.0,29884.0
38,NSW,Narrabri,New England and North West,Outer Regional Australia,12754.0,2119123.0,5997.0
39,Qld,Logan,Logan - Beaudesert,Inner Regional Australia,377773.0,4683975.0,125977.0
40,Qld,Cook,Queensland - Outback,Remote Australia,4761.0,304013.0,3163.0
41,NSW,Tenterfield,New England and North West,Outer Regional Australia,6973.0,2119123.0,3968.0
42,Vic,Greater Bendigo,Bendigo,Inner Regional Australia,124174.0,4683975.0,53173.0
43,NSW,Central Coast,Central Coast,Major Cities of Australia,,19343743.0,
44,NSW,Tamworth Regional,New England and North West,Outer Regional Australia,,2119123.0,27725.0
45,Vic,Whittlesea,Melbourne - North East,Major Cities of Australia,245029.0,19343743.0,82993.0
46,NSW,Hilltops,Capital Region,Inner Regional Australia,19255.0,4683975.0,9220.0
47,NSW,Forbes,Central West,Outer Regional Australia,9300.0,2119123.0,4373.0
48,Qld,Toowoomba,Toowoomba,Inner Regional Australia,181821.0,4683975.0,74054.0
49,NSW,Lake Macquarie,Newcastle and Lake Macquarie,Major Cities of Australia,219249.0,19343743.0,88908.0
50,Qld,Livingstone,Central Queensland,Remote Australia,41906.0,304013.0,17841.0
51,Tas,Northern Midlands,Launceston and North East,Outer Regional Australia,14279.0,2119123.0,6444.0
52,NSW,Blacktown,Sydney - Blacktown,Major Cities of Australia,426202.0,19343743.0,133984.0
53,NSW,Dubbo Regional,Far West and Orana,Inner Regional Australia,,4683975.0,22823.0
54,NSW,Balranald,Murray,Outer Regional Australia,2202.0,2119123.0,1091.0
55,Qld,Lockhart River,Queensland - Outback,Very Remote Australia,673.0,198024.0,228.0
56,Vic,Golden Plains,Ballarat,Inner Regional Australia,25818.0,4683975.0,9408.0
57,SA,Light,Barossa - Yorke - Mid North,Inner Regional Australia,16616.0,4683975.0,6046.0
58,Qld,Ipswich,Ipswich,Major Cities of Australia,251148.0,19343743.0,87352.0
59,Qld,Cassowary Coast,Cairns,Outer Regional Australia,29972.0,2119123.0,15123.0
60,SA,Tumby Bay,South Australia - Outback,Remote Australia,2906.0,304013.0,1681.0
61,NSW,Liverpool,Sydney - South West,Major Cities of Australia,247672.0,19343743.0,77895.0
62,NSW,Cumberland,Sydney - Parramatta,Major Cities of Australia,245323.0,19343743.0,83189.0
63,NSW,Muswellbrook,Hunter Valley exc Newcastle,Inner Regional Australia,16778.0,4683975.0,7333.0
64,Qld,Moreton Bay,Moreton Bay - North,Inner Regional Australia,510104.0,4683975.0,188327.0
65,NSW,Ballina,Richmond - Tweed,Inner Regional Australia,47279.0,4683975.0,20889.0
66,Vic,Unknown,Unknown,Unknown,,,
67,NSW,Kyogle,Richmond - Tweed,Inner Regional Australia,9468.0,4683975.0,4688.0
68,Qld,Bundaberg,Wide Bay,Inner Regional Australia,104166.0,4683975.0,46081.0
69,Vic,Melbourne,Melbourne - Inner,Major Cities of Australia,177396.0,19343743.0,103368.0
70,Qld,Brisbane,Brisbane - South,Major Cities of Australia,1323162.0,19343743.0,519431.0
71,NSW,Snowy Valleys,Riverina,Outer Regional Australia,14935.0,2119123.0,7075.0
72,Qld,Whitsunday,Mackay - Isaac - Whitsunday,Outer Regional Australia,39712.0,2119123.0,18043.0
73,NSW,Fairfield,Sydney - South West,Major Cities of Australia,209742.0,19343743.0,67658.0
74,NSW,Yass Valley,Capital Region,Inner Regional Australia,17477.0,4683975.0,6823.0
75,Qld,Central Highlands (Qld),Central Queensland,Remote Australia,28973.0,304013.0,14180.0
76,NSW,The Hills,Sydney - Baulkham Hills and Hawkesbury,Major Cities of Australia,207959.0,19343743.0,
77,SA,Salisbury,Adelaide - North,Major Cities of Australia,149214.0,19343743.0,57117.0
78,NSW,Port Stephens,Hunter Valley exc Newcastle,Inner Regional Australia,77748.0,4683975.0,35699.0
79,Vic,Macedon Ranges,Melbourne - North West,Inner Regional Australia,52920.0,4683975.0,20630.0
80,Vic,Moyne,Warrnambool and South West,Inner Regional Australia,17610.0,4683975.0,8550.0
81,Vic,Cardinia,Melbourne - South East,Major Cities of Australia,126960.0,19343743.0,43533.0
82,Vic,East Gippsland,Latrobe - Gippsland,Outer Regional Australia,49179.0,2119123.0,26078.0
83,NSW,Hornsby,Sydney - Baulkham Hills and Hawkesbury,Major Cities of Australia,154072.0,19343743.0,55952.0
84,Qld,Mareeba,Queensland - Outback,Very Remote Australia,23702.0,198024.0,10199.0
85,Qld,Rockhampton,Central Queensland,Inner Regional Australia,84517.0,4683975.0,35813.0
86,NSW,Mid-Coast,Mid North Coast,Inner Regional Australia,97909.0,4683975.0,50474.0
87,Qld,Ipswich,Ipswich,Inner Regional Australia,251148.0,4683975.0,87352.0
88,Vic,Glenelg,Warrnambool and South West,Outer Regional Australia,20022.0,2119123.0,10173.0
89,Qld,Western Downs,Darling Downs - Maranoa,Outer Regional Australia,34991.0,2119123.0,16165.0
90,SA,Port Adelaide Enfield,Adelaide - West,Major Cities of Australia,138585.0,19343743.0,56716.0
91,NSW,Cabonne,Central West,Outer Regional Australia,13880.0,2119123.0,5895.0
92,Qld,Gold Coast,Gold Coast,Major Cities of Australia,666087.0,19343743.0,270761.0
