person_id,age,age_group,gender,road_user
1,74,65+,Male,Driver
2,19,18-25,Female,Driver
3,33,26-40,Female,Driver
4,32,26-40,Female,Driver
5,62,41-65,Male,Passenger
6,61,41-65,Female,Passenger
7,47,41-65,Male,Motorcycle rider
8,69,65+,Male,Driver
9,29,26-40,Female,Passenger
10,19,18-25,Male,Motorcycle rider
11,55,41-65,Female,Driver
12,45,41-65,Female,Driver
13,50,41-65,Male,Pedestrian
14,45,41-65,Male,Driver
15,61,41-65,Male,Driver
16,29,26-40,Male,Driver
17,33,26-40,Male,Driver
18,74,65+,Male,Pedestrian
19,75,65+,Female,Driver
20,25,26-40,Male,Driver
21,4,0-17,Male,Pedestrian
22,27,26-40,Male,Driver
23,66,65+,Male,Driver
24,26,26-40,Female,Driver
25,65,65+,Female,Pedestrian
26,60,41-65,Female,Pedestrian
27,18,18-25,Male,Motorcycle rider
28,33,26-40,Male,Pedestrian
29,41,41-65,Female,Driver
30,42,41-65,Male,Driver
31,32,26-40,Male,Driver
32,22,18-25,Male,Driver
33,21,18-25,Male,Passenger
34,38,26-40,Male,Driver
35,69,65+,Male,Motorcycle rider
36,59,41-65,Female,Driver
37,68,65+,Female,Passenger
38,51,41-65,Female,Driver
39,76,65+,Male,Driver
40,35,26-40,Male,Motorcycle rider
41,55,41-65,Male,Motorcycle rider
42,63,41-65,Male,Motorcycle rider
43,64,41-65,Male,Motorcycle rider
44,66,65+,Female,Passenger
45,61,41-65,Male,Pedal cyclist
46,30,26-40,Female,Driver
47,45,41-65,Male,Motorcycle rider
48,60,41-65,Male,Motorcycle rider
49,34,26-40,Male,Driver
50,27,26-40,Male,Motorcycle rider
51,26,26-40,Male,Driver
52,46,41-65,Male,Motorcycle rider
53,50,41-65,Female,Pedestrian
54,85,65+,Female,Pedestrian
55,92,65+,Female,Driver
56,89,65+,Female,Pedestrian
57,21,18-25,Male,Motorcycle rider
58,74,65+,Female,Driver
59,26,26-40,Male,Motorcycle rider
60,60,41-65,Female,Driver
61,59,41-65,Female,Passenger
62,77,65+,Male,Motorcycle rider
63,63,41-65,Female,Driver
64,90,65+,Female,Driver
65,31,26-40,Male,Passenger
66,24,18-25,Male,Driver
67,49,41-65,Male,Driver
68,27,26-40,Female,Pedestrian
69,21,18-25,Male,Driver
70,16,0-17,Male,Driver
71,22,18-25,Female,Passenger
72,24,18-25,Male,Motorcycle rider
73,21,18-25,Female,Driver
74,43,41-65,Male,Motorcycle rider
75,51,41-65,Male,Driver
76,23,18-25,Male,Passenger
77,74,65+,,Motorcycle rider
78,80,65+,Female,Passenger
79,76,65+,Male,Pedestrian
80,67,65+,Female,Pedestrian
81,64,41-65,Female,Pedestrian
82,17,18-25,Female,Driver
83,35,26-40,Male,Driver
84,71,65+,Male,Motorcycle rider
85,41,41-65,Male,Driver
86,24,18-25,Female,Driver
87,54,41-65,Male,Driver
88,27,26-40,Male,Pedestrian
89,97,65+,Female,Passenger
90,46,41-65,Male,Driver
91,83,65+,Male,Driver
92,36,26-40,Male,Driver
93,70,65+,Male,Driver
94,29,26-40,Female,Driver
95,39,26-40,Male,Motorcycle rider
96,39,26-40,Male,Driver
97,43,41-65,Male,Driver
98,25,26-40,Male,Motorcycle rider
99,61,41-65,Male,Motorcycle rider
100,52,41-65,Male,Driver
101,22,18-25,Male,Motorcycle rider
102,53,41-65,Male,Driver
103,44,41-65,Male,Motorcycle rider
104,57,41-65,Female,Passenger
105,69,65+,Male,
106,18,18-25,Male,Driver
107,47,41-65,Male,Driver
108,18,18-25,Male,Passenger
109,44,41-65,Female,Passenger
110,64,41-65,Female,Passenger
111,17,18-25,Male,Driver
112,43,41-65,Female,Pedestrian
113,83,65+,Female,Driver
114,71,65+,Male,Pedal cyclist
115,87,65+,Male,Passenger
116,58,41-65,Female,Pedestrian
117,15,0-17,Male,Driver
118,81,65+,Female,Passenger
119,63,41-65,Male,Pedestrian
120,38,26-40,Male,Motorcycle rider
121,36,26-40,Male,Pedal cyclist
122,18,18-25,Female,Driver
123,76,65+,Female,Pedestrian
124,40,41-65,Female,Pedestrian
125,77,65+,Female,Driver
126,56,41-65,Male,Driver
127,78,65+,Female,Driver
128,76,65+,Female,Driver
129,28,26-40,Male,Passenger
130,63,41-65,Male,Driver
131,25,26-40,Male,Passenger
132,29,26-40,Male,Pedestrian
133,37,26-40,Male,Driver
134,71,65+,Female,Pedestrian
135,42,41-65,Female,Driver
136,15,0-17,Female,Driver
137,60,41-65,Female,Passenger
138,57,41-65,Male,Driver
139,30,26-40,Male,Driver
140,48,41-65,Female,Pedestrian
141,54,41-65,Male,Motorcycle rider
142,60,41-65,Female,Motorcycle rider
143,68,65+,Male,Motorcycle rider
144,66,65+,Male,Motorcycle rider
145,65,65+,Male,Pedal cyclist
146,19,18-25,Male,Passenger
147,20,18-25,Male,Driver
148,66,65+,Male,Pedal cyclist
149,35,26-40,Male,Pedestrian
150,28,26-40,Male,Pedestrian
151,30,26-40,Male,Passenger
152,31,26-40,Female,Pedestrian
153,62,41-65,Male,Driver
154,69,65+,Female,Driver
155,83,65+,Female,Pedestrian
156,16,0-17,Male,Passenger
157,46,41-65,Female,Driver
158,66,65+,Male,Passenger
159,31,26-40,Male,Driver
160,60,41-65,Male,Driver
161,23,18-25,Female,Driver
162,82,65+,Male,Passenger
163,43,41-65,Male,Pedal cyclist
164,21,18-25,Female,Pedestrian
165,32,26-40,Male,Motorcycle rider
166,31,26-40,Female,Driver
167,40,41-65,Female,Driver
168,96,65+,Male,Driver
169,40,41-65,Female,Passenger
170,13,0-17,Male,Passenger
171,62,41-65,Female,Pedestrian
172,47,41-65,Female,Pedestrian
173,12,0-17,Male,
174,37,26-40,Male,Passenger
175,81,65+,Male,Pedestrian
176,80,65+,Female,Pedestrian
177,76,65+,Female,Passenger
178,55,41-65,Female,Motorcycle rider
179,44,41-65,Female,Driver
180,28,26-40,Male,Motorcycle rider
181,15,0-17,Male,
182,91,65+,Male,Pedestrian
183,11,0-17,Female,Passenger
184,53,41-65,Female,Driver
185,73,65+,Male,Driver
186,48,41-65,Female,Driver
187,57,41-65,Female,Driver
188,31,26-40,Male,
189,69,65+,Male,Pedestrian
190,51,41-65,Male,Motorcycle rider
191,34,26-40,Male,Passenger
192,22,18-25,Male,Passenger
193,73,65+,Male,Motorcycle rider
194,78,65+,Female,Passenger
195,74,65+,Female,Passenger
196,20,18-25,Male,Motorcycle rider
197,31,26-40,Female,Passenger
198,40,41-65,Male,Driver
199,24,18-25,Female,Pedestrian
200,14,0-17,Male,Passenger
201,41,41-65,Male,Motorcycle rider
202,90,65+,Male,Pedestrian
203,48,41-65,Male,Motorcycle rider
204,34,26-40,Female,Motorcycle rider
205,58,41-65,Male,Passenger
206,5,0-17,Male,Passenger
207,15,0-17,Female,Passenger
208,37,26-40,Male,Motorcycle rider
209,70,65+,Female,Pedestrian
210,2,0-17,Female,Pedestrian
211,59,41-65,Female,Motorcycle rider
212,76,65+,Male,Motorcycle rider
213,44,41-65,Male,Driver
214,56,41-65,Male,Motorcycle rider
215,77,65+,Male,Driver
216,65,65+,Male,Motorcycle rider
217,59,41-65,Male,Motorcycle rider
218,33,26-40,Female,Motorcycle rider
219,34,26-40,Female,
220,11,0-17,Male,Pedestrian
221,39,26-40,Female,Pedestrian
222,30,26-40,Male,Motorcycle rider
223,14,0-17,Male,Motorcycle rider
224,24,18-25,Female,Passenger
225,49,41-65,Female,Pedestrian
226,78,65+,Male,Pedestrian
227,9,0-17,Male,Pedal cyclist
228,15,0-17,Male,Motorcycle rider
229,37,26-40,Male,Pedestrian
230,52,41-65,Male,Pedestrian
231,1,0-17,Female,Pedestrian
232,52,41-65,Female,Driver
233,93,65+,Female,Driver
234,87,65+,Male,Driver
235,94,65+,Male,Driver
236,83,65+,Male,Passenger
237,31,26-40,Male,Motorcycle rider
238,34,26-40,Male,Motorcycle rider
239,23,18-25,Male,Motorcycle rider
240,27,26-40,Female,Driver
241,65,65+,Female,Driver
242,72,65+,Male,Driver
243,81,65+,Male,Driver
244,15,0-17,Female,
245,79,65+,Female,Pedestrian
246,23,18-25,Male,Driver
247,58,41-65,Male,Driver
248,74,65+,Female,Pedestrian
249,32,26-40,Male,Pedestrian
250,53,41-65,Male,Pedestrian
251,84,65+,Male,Passenger
252,50,41-65,Male,Motorcycle rider
253,65,65+,Male,Driver
254,22,18-25,Female,Driver
255,48,41-65,Male,Driver
256,50,41-65,Male,Pedal cyclist
257,17,18-25,Male,Passenger
258,35,26-40,Female,Pedestrian
259,56,41-65,Female,Driver
260,81,65+,Male,Pedal cyclist
261,80,65+,Female,Driver
262,49,41-65,Male,Passenger
263,36,26-40,Male,Pedestrian
264,57,41-65,Male,Motorcycle rider
265,28,26-40,Male,Driver
266,58,41-65,Male,Motorcycle rider
267,15,0-17,Female,Pedestrian
268,54,41-65,Male,Passenger
269,62,41-65,Male,Pedestrian
270,45,41-65,Female,
271,39,26-40,Male,Pedestrian
272,26,26-40,Female,Passenger
273,50,41-65,Male,Driver
274,57,41-65,Male,Pedestrian
275,64,41-65,Male,Driver
276,68,65+,Male,Driver
277,54,41-65,Female,Driver
278,63,41-65,Female,Pedestrian
279,13,0-17,Male,Pedestrian
280,29,26-40,Male,Motorcycle rider
281,56,41-65,Male,Pedestrian
282,73,65+,Male,Pedestrian
283,19,18-25,Male,Driver
284,78,65+,Male,Motorcycle rider
285,85,65+,Male,Driver
286,70,65+,Male,Motorcycle rider
287,42,41-65,Male,Pedal cyclist
288,66,65+,Male,Pedestrian
289,20,18-25,Male,Motorcycle pillion passenger
290,49,41-65,Male,Pedestrian
291,61,41-65,Male,Pedestrian
292,55,41-65,Male,Driver
293,79,65+,Male,Driver
294,68,65+,Female,Pedestrian
295,6,0-17,Male,Passenger
296,0,0-17,Male,Passenger
297,21,18-25,Female,Passenger
298,33,26-40,Female,Passenger
299,49,41-65,Male,Pedal cyclist
300,35,26-40,Female,Passenger
301,68,65+,Female,Pedal cyclist
302,79,65+,Male,Pedestrian
303,37,26-40,Female,Pedestrian
304,37,26-40,Female,Driver
305,27,26-40,Male,Pedal cyclist
306,75,65+,Male,Driver
307,67,65+,Male,Pedestrian
308,36,26-40,Female,Passenger
309,3,0-17,Female,Passenger
310,42,41-65,Female,Pedestrian
311,70,65+,Male,Pedestrian
312,71,65+,Male,Driver
313,63,41-65,Female,Passenger
314,27,26-40,Male,Passenger
315,96,65+,Female,Pedestrian
316,59,41-65,Male,Driver
317,80,65+,Male,Pedestrian
318,20,18-25,Female,Pedestrian
319,78,65+,Male,Driver
320,49,41-65,Male,Motorcycle rider
321,17,18-25,Male,Motorcycle rider
322,32,26-40,Male,
323,8,0-17,Male,Passenger
324,63,41-65,Male,Pedal cyclist
325,56,41-65,Female,Pedal cyclist
326,20,18-25,Male,Passenger
327,18,18-25,Female,Passenger
328,20,18-25,Female,Passenger
329,16,0-17,Male,Motorcycle rider
330,67,65+,Male,Driver
331,77,65+,,Passenger
332,69,65+,Male,Pedal cyclist
333,28,26-40,Female,Driver
334,3,0-17,Male,Passenger
335,30,26-40,Female,
336,84,65+,Male,Driver
337,85,65+,Female,Driver
338,11,0-17,Male,Pedal cyclist
339,83,65+,Male,Pedestrian
340,60,41-65,Male,Passenger
341,40,41-65,Male,Pedestrian
342,78,65+,Male,Passenger
343,2,0-17,Male,Passenger
344,72,65+,Female,Driver
345,17,18-25,Female,Passenger
346,80,65+,Male,Driver
347,26,26-40,Female,Motorcycle rider
348,26,26-40,Male,Passenger
349,83,65+,Female,Passenger
350,82,65+,Female,Driver
351,30,26-40,Male,Pedestrian
352,29,26-40,Female,Pedestrian
353,44,41-65,Male,Pedestrian
354,81,65+,Female,Pedestrian
355,36,26-40,Male,Motorcycle rider
356,63,41-65,Male,Passenger
357,24,18-25,Male,Passenger
358,71,65+,Female,Passenger
359,77,65+,Female,Pedestrian
360,57,41-65,Male,Pedal cyclist
361,56,41-65,Female,Passenger
362,68,65+,Female,Driver
363,54,41-65,Male,Pedal cyclist
364,47,41-65,Male,Pedal cyclist
365,43,41-65,Male,Passenger
366,56,41-65,,Motorcycle rider
367,43,41-65,Male,Pedestrian
368,20,18-25,Female,Motorcycle rider
369,82,65+,Female,Pedestrian
370,61,41-65,Female,Pedestrian
371,90,65+,Male,Driver
372,40,41-65,Male,Motorcycle rider
373,87,65+,Male,Pedestrian
374,33,26-40,Male,Motorcycle rider
375,40,41-65,Male,Pedal cyclist
376,73,65+,Female,Pedestrian
377,19,18-25,Female,Pedestrian
378,32,26-40,Female,Pedestrian
379,41,41-65,Male,Passenger
380,93,65+,Male,Driver
381,84,65+,Female,Driver
382,18,18-25,Male,Pedestrian
383,35,26-40,Female,Driver
384,38,26-40,Female,Driver
385,89,65+,Female,Driver
386,90,65+,Male,
387,62,41-65,Female,Driver
