fact_crash_id,crash_id,date_id,holiday_id,location_id,road_id,vehicle_id,crash_type_id,number_fatalities,crash_count
20241115,20241115,3018,1,1,1,1,1,1,1
20241125,20241125,3018,2,2,2,1,1,1,1
20246013,20246013,3018,1,3,3,1,2,1,1
20241002,20241002,3018,2,4,4,1,2,1,1
20243185,20243185,3018,2,5,4,1,2,1,1
20244016,20244016,3018,1,6,5,1,1,1,1
20245001,20245001,3018,2,7,6,1,1,1,1
20243168,20243168,3018,2,8,7,1,2,1,1
20246003,20246003,3018,2,9,3,1,2,1,1
20246001,20246001,3018,2,10,4,1,2,1,1
20244081,20244081,3018,2,11,3,1,1,1,1
20241087,20241087,3018,2,12,8,1,1,1,1
20241054,20241054,3018,2,13,9,2,2,1,1
20244042,20244042,3019,2,14,10,1,1,1,1
20243246,20243246,3019,2,15,11,1,1,1,1
20241101,20241101,3019,2,16,12,2,1,1,1
20241216,20241216,3019,1,17,13,1,1,1,1
20241300,20241300,3019,2,18,4,1,2,1,1
20243007,20243007,3019,1,19,4,1,2,1,1
20241278,20241278,3019,2,20,1,1,1,1,1
20245005,20245005,3019,1,7,14,1,1,1,1
20241149,20241149,3019,2,21,15,1,1,1,1
20245143,20245143,3019,1,7,16,1,1,1,1
20245039,20245039,3019,1,7,14,1,1,2,1
20242087,20242087,3020,2,22,4,3,1,1,1
20241068,20241068,3020,2,23,9,4,2,1,1
20243273,20243273,3020,2,24,10,1,1,1,1
20245045,20245045,3020,2,7,17,1,1,1,1
20245093,20245093,3020,2,7,16,1,1,1,1
20244020,20244020,3020,2,25,5,1,2,1,1
20244055,20244055,3020,1,14,9,1,2,2,1
20245100,20245100,3020,2,7,14,5,1,1,1
20241094,20241094,3020,1,26,18,1,2,1,1
20243209,20243209,3020,1,27,3,1,2,1,1
20243160,20243160,3020,1,28,4,1,2,2,1
20244001,20244001,3020,1,29,1,1,2,1,1
20243243,20243243,3020,2,30,19,5,2,1,1
20245119,20245119,3020,2,7,17,1,1,1,1
20246016,20246016,3020,2,31,4,1,1,1,1
20241119,20241119,3020,2,32,10,1,2,2,1
20245133,20245133,3020,2,7,14,1,1,1,1
20245069,20245069,3020,2,7,16,1,1,1,1
20241169,20241169,3020,2,33,20,1,1,1,1
20245161,20245161,3020,2,7,21,1,1,1,1
20241291,20241291,3021,2,34,9,2,2,1,1
20243036,20243036,3021,2,35,10,1,1,1,1
20244026,20244026,3021,2,36,3,1,1,1,1
20241077,20241077,3021,2,37,22,1,1,1,1
20241028,20241028,3021,2,16,22,1,2,1,1
20241022,20241022,3021,2,38,5,1,1,1,1
20243015,20243015,3021,2,39,7,1,2,1,1
20245068,20245068,3021,2,7,23,1,1,1,1
20244023,20244023,3021,2,25,5,1,1,1,1
20241098,20241098,3021,2,33,24,1,1,1,1
20243114,20243114,3021,2,40,5,1,1,2,1
20245092,20245092,3021,2,7,17,1,1,1,1
20241040,20241040,3021,2,41,4,1,2,1,1
20242188,20242188,3021,1,42,5,3,1,1,1
20241174,20241174,3021,2,43,25,1,2,1,1
20241088,20241088,3021,2,44,1,1,2,1,1
20245031,20245031,3021,2,7,17,1,1,1,1
20242136,20242136,3021,2,45,1,6,2,1,1
20241255,20241255,3021,2,46,1,1,2,1,1
20241053,20241053,3021,2,47,1,1,1,2,1
20243046,20243046,3021,2,48,13,1,1,2,1
20245107,20245107,3021,2,7,21,1,1,1,1
20241080,20241080,3022,2,49,25,1,1,1,1
20245130,20245130,3022,1,7,14,1,1,1,1
20243044,20243044,3022,2,50,4,2,2,1,1
20246009,20246009,3022,1,51,26,1,2,1,1
20241274,20241274,3022,2,52,4,1,2,1,1
20241240,20241240,3022,2,53,12,1,1,1,1
20243176,20243176,3023,1,15,13,1,1,1,1
20245006,20245006,3023,2,7,16,1,1,1,1
20241181,20241181,3023,1,54,9,2,1,1,1
20243110,20243110,3023,1,55,7,1,1,1,1
20242037,20242037,3023,2,56,5,3,1,1,1
20244044,20244044,3023,2,57,5,1,1,1,1
20243090,20243090,3023,2,58,16,1,1,1,1
20243147,20243147,3023,2,59,20,1,1,1,1
20245083,20245083,3023,2,7,14,1,1,1,1
20244019,20244019,3023,1,60,27,1,1,1,1
20241194,20241194,3023,2,61,28,7,2,1,1
20241139,20241139,3023,2,62,3,8,2,1,1
20241197,20241197,3023,2,63,4,2,2,1,1
20243220,20243220,3024,1,59,27,1,1,1,1
20243267,20243267,3024,2,64,29,1,2,1,1
20241057,20241057,3024,2,65,9,1,1,1,1
20245164,20245164,3024,2,7,14,1,1,1,1
20243174,20243174,3024,1,39,20,1,2,1,1
20242148,20242148,3024,2,66,30,3,2,1,1
20241166,20241166,3024,1,67,5,1,1,1,1
20243213,20243213,3011,2,68,4,2,2,1,1
20241096,20241096,3011,2,41,4,1,1,1,1
20242089,20242089,3011,2,69,25,1,2,1,1
20245012,20245012,3011,2,7,16,1,1,1,1
20245070,20245070,3011,2,7,30,5,1,1,1
20243073,20243073,3011,2,70,19,1,1,1,1
20241027,20241027,3011,2,71,4,1,1,1,1
20241163,20241163,3011,2,44,5,1,1,1,1
20243143,20243143,3011,2,72,10,1,1,1,1
20241222,20241222,3011,2,73,4,1,2,1,1
20241218,20241218,3011,2,74,9,1,1,1,1
20243249,20243249,3011,2,75,27,1,1,1,1
20243098,20243098,3011,2,68,31,1,2,1,1
20241306,20241306,3011,2,76,13,1,1,1,1
20243037,20243037,3012,2,15,3,1,1,1,1
20244083,20244083,3012,2,77,7,1,1,1,1
20245145,20245145,3012,2,7,14,1,1,1,1
20241196,20241196,3012,2,78,26,1,2,1,1
20244028,20244028,3012,2,29,1,1,2,2,1
20243038,20243038,3012,2,8,10,1,1,1,1
20242023,20242023,3012,2,79,19,2,2,1,1
20242230,20242230,3012,2,80,1,1,2,1,1
20242127,20242127,3012,2,81,11,1,2,1,1
20242120,20242120,3012,2,82,1,1,1,1,1
20241106,20241106,3012,2,65,26,1,2,1,1
20241230,20241230,3012,2,83,32,1,1,1,1
20241055,20241055,3012,2,43,3,1,1,1,1
20241267,20241267,3012,2,63,3,1,2,1,1
20242260,20242260,3012,2,45,28,1,2,1,1
20242057,20242057,3013,2,79,1,1,1,1,1
