date_id,year,month,quarter,day_of_week_name,day_type
1,1989,1,1,Friday,Weekday
2,1989,1,1,Monday,Weekday
3,1989,1,1,Saturday,Weekend
4,1989,1,1,Sunday,Weekend
5,1989,1,1,Thursday,Weekday
6,1989,1,1,Tuesday,Weekday
7,1989,1,1,Wednesday,Weekday
8,1989,2,1,Friday,Weekday
9,1989,2,1,Monday,Weekday
10,1989,2,1,Saturday,Weekend
11,1989,2,1,Sunday,Weekend
12,1989,2,1,Thursday,Weekday
13,1989,2,1,Tuesday,Weekday
14,1989,2,1,Wednesday,Weekday
15,1989,3,1,Friday,Weekday
16,1989,3,1,Monday,Weekday
17,1989,3,1,Saturday,Weekend
18,1989,3,1,Sunday,Weekend
19,1989,3,1,Thursday,Weekday
20,1989,3,1,Tuesday,Weekday
21,1989,3,1,Wednesday,Weekday
22,1989,4,2,Friday,Weekday
23,1989,4,2,Monday,Weekday
24,1989,4,2,Saturday,Weekend
25,1989,4,2,Sunday,Weekend
26,1989,4,2,Thursday,Weekday
27,1989,4,2,Tuesday,Weekday
28,1989,4,2,Wednesday,Weekday
29,1989,5,2,Friday,Weekday
30,1989,5,2,Monday,Weekday
31,1989,5,2,Saturday,Weekend
32,1989,5,2,Sunday,Weekend
33,1989,5,2,Thursday,Weekday
34,1989,5,2,Tuesday,Weekday
35,1989,5,2,Wednesday,Weekday
36,1989,6,2,Friday,Weekday
37,1989,6,2,Monday,Weekday
38,1989,6,2,Saturday,Weekend
39,1989,6,2,Sunday,Weekend
40,1989,6,2,Thursday,Weekday
41,1989,6,2,Tuesday,Weekday
42,1989,6,2,Wednesday,Weekday
43,1989,7,3,Friday,Weekday
44,1989,7,3,Monday,Weekday
45,1989,7,3,Saturday,Weekend
46,1989,7,3,Sunday,Weekend
47,1989,7,3,Thursday,Weekday
48,1989,7,3,Tuesday,Weekday
49,1989,7,3,Wednesday,Weekday
50,1989,8,3,Friday,Weekday
51,1989,8,3,Monday,Weekday
52,1989,8,3,Saturday,Weekend
53,1989,8,3,Sunday,Weekend
54,1989,8,3,Thursday,Weekday
55,1989,8,3,Tuesday,Weekday
56,1989,8,3,Wednesday,Weekday
57,1989,9,3,Friday,Weekday
58,1989,9,3,Monday,Weekday
59,1989,9,3,Saturday,Weekend
60,1989,9,3,Sunday,Weekend
61,1989,9,3,Thursday,Weekday
62,1989,9,3,Tuesday,Weekday
63,1989,9,3,Wednesday,Weekday
64,1989,10,4,Friday,Weekday
65,1989,10,4,Monday,Weekday
66,1989,10,4,Saturday,Weekend
67,1989,10,4,Sunday,Weekend
68,1989,10,4,Thursday,Weekday
69,1989,10,4,Tuesday,Weekday
70,1989,10,4,Wednesday,Weekday
71,1989,11,4,Friday,Weekday
72,1989,11,4,Monday,Weekday
73,1989,11,4,Saturday,Weekend
74,1989,11,4,Sunday,Weekend
75,1989,11,4,Thursday,Weekday
76,1989,11,4,Tuesday,Weekday
77,1989,11,4,Wednesday,Weekday
78,1989,12,4,Friday,Weekday
79,1989,12,4,Monday,Weekday
80,1989,12,4,Saturday,Weekend
81,1989,12,4,Sunday,Weekend
82,1989,12,4,Thursday,Weekday
83,1989,12,4,Tuesday,Weekday
84,1989,12,4,Wednesday,Weekday
85,1990,1,1,Friday,Weekday
86,1990,1,1,Monday,Weekday
87,1990,1,1,Saturday,Weekend
88,1990,1,1,Sunday,Weekend
89,1990,1,1,Thursday,Weekday
90,1990,1,1,Tuesday,Weekday
91,1990,1,1,Wednesday,Weekday
92,1990,2,1,Friday,Weekday
93,1990,2,1,Monday,Weekday
94,1990,2,1,Saturday,Weekend
95,1990,2,1,Sunday,Weekend
96,1990,2,1,Thursday,Weekday
97,1990,2,1,Tuesday,Weekday
98,1990,2,1,Wednesday,Weekday
99,1990,3,1,Friday,Weekday
100,1990,3,1,Monday,Weekday
101,1990,3,1,Saturday,Weekend
102,1990,3,1,Sunday,Weekend
103,1990,3,1,Thursday,Weekday
104,1990,3,1,Tuesday,Weekday
105,1990,3,1,Wednesday,Weekday
106,1990,4,2,Friday,Weekday
107,1990,4,2,Monday,Weekday
108,1990,4,2,Saturday,Weekend
109,1990,4,2,Sunday,Weekend
110,1990,4,2,Thursday,Weekday
111,1990,4,2,Tuesday,Weekday
112,1990,4,2,Wednesday,Weekday
113,1990,5,2,Friday,Weekday
114,1990,5,2,Monday,Weekday
115,1990,5,2,Saturday,Weekend
116,1990,5,2,Sunday,Weekend
117,1990,5,2,Thursday,Weekday
118,1990,5,2,Tuesday,Weekday
119,1990,5,2,Wednesday,Weekday
120,1990,6,2,Friday,Weekday
121,1990,6,2,Monday,Weekday
122,1990,6,2,Saturday,Weekend
123,1990,6,2,Sunday,Weekend
124,1990,6,2,Thursday,Weekday
125,1990,6,2,Tuesday,Weekday
126,1990,6,2,Wednesday,Weekday
127,1990,7,3,Friday,Weekday
128,1990,7,3,Monday,Weekday
129,1990,7,3,Saturday,Weekend
130,1990,7,3,Sunday,Weekend
131,1990,7,3,Thursday,Weekday
132,1990,7,3,Tuesday,Weekday
133,1990,7,3,Wednesday,Weekday
134,1990,8,3,Friday,Weekday
135,1990,8,3,Monday,Weekday
136,1990,8,3,Saturday,Weekend
137,1990,8,3,Sunday,Weekend
138,1990,8,3,Thursday,Weekday
139,1990,8,3,Tuesday,Weekday
140,1990,8,3,Wednesday,Weekday
141,1990,9,3,Friday,Weekday
142,1990,9,3,Monday,Weekday
143,1990,9,3,Saturday,Weekend
144,1990,9,3,Sunday,Weekend
145,1990,9,3,Thursday,Weekday
146,1990,9,3,Tuesday,Weekday
147,1990,9,3,Wednesday,Weekday
148,1990,10,4,Friday,Weekday
149,1990,10,4,Monday,Weekday
150,1990,10,4,Saturday,Weekend
151,1990,10,4,Sunday,Weekend
152,1990,10,4,Thursday,Weekday
153,1990,10,4,Tuesday,Weekday
154,1990,10,4,Wednesday,Weekday
155,1990,11,4,Friday,Weekday
156,1990,11,4,Monday,Weekday
157,1990,11,4,Saturday,Weekend
158,1990,11,4,Sunday,Weekend
159,1990,11,4,Thursday,Weekday
160,1990,11,4,Tuesday,Weekday
161,1990,11,4,Wednesday,Weekday
162,1990,12,4,Friday,Weekday
163,1990,12,4,Monday,Weekday
164,1990,12,4,Saturday,Weekend
165,1990,12,4,Sunday,Weekend
166,1990,12,4,Thursday,Weekday
167,1990,12,4,Tuesday,Weekday
168,1990,12,4,Wednesday,Weekday
169,1991,1,1,Friday,Weekday
170,1991,1,1,Monday,Weekday
171,1991,1,1,Saturday,Weekend
172,1991,1,1,Sunday,Weekend
173,1991,1,1,Thursday,Weekday
174,1991,1,1,Tuesday,Weekday
175,1991,1,1,Wednesday,Weekday
176,1991,2,1,Friday,Weekday
177,1991,2,1,Monday,Weekday
178,1991,2,1,Saturday,Weekend
179,1991,2,1,Sunday,Weekend
180,1991,2,1,Thursday,Weekday
181,1991,2,1,Tuesday,Weekday
182,1991,2,1,Wednesday,Weekday
183,1991,3,1,Friday,Weekday
184,1991,3,1,Monday,Weekday
185,1991,3,1,Saturday,Weekend
186,1991,3,1,Sunday,Weekend
187,1991,3,1,Thursday,Weekday
188,1991,3,1,Tuesday,Weekday
189,1991,3,1,Wednesday,Weekday
190,1991,4,2,Friday,Weekday
191,1991,4,2,Monday,Weekday
192,1991,4,2,Saturday,Weekend
193,1991,4,2,Sunday,Weekend
194,1991,4,2,Thursday,Weekday
195,1991,4,2,Tuesday,Weekday
196,1991,4,2,Wednesday,Weekday
197,1991,5,2,Friday,Weekday
198,1991,5,2,Monday,Weekday
199,1991,5,2,Saturday,Weekend
200,1991,5,2,Sunday,Weekend
201,1991,5,2,Thursday,Weekday
202,1991,5,2,Tuesday,Weekday
203,1991,5,2,Wednesday,Weekday
204,1991,6,2,Friday,Weekday
205,1991,6,2,Monday,Weekday
206,1991,6,2,Saturday,Weekend
207,1991,6,2,Sunday,Weekend
208,1991,6,2,Thursday,Weekday
209,1991,6,2,Tuesday,Weekday
210,1991,6,2,Wednesday,Weekday
211,1991,7,3,Friday,Weekday
212,1991,7,3,Monday,Weekday
213,1991,7,3,Saturday,Weekend
214,1991,7,3,Sunday,Weekend
215,1991,7,3,Thursday,Weekday
216,1991,7,3,Tuesday,Weekday
217,1991,7,3,Wednesday,Weekday
218,1991,8,3,Friday,Weekday
219,1991,8,3,Monday,Weekday
220,1991,8,3,Saturday,Weekend
221,1991,8,3,Sunday,Weekend
222,1991,8,3,Thursday,Weekday
223,1991,8,3,Tuesday,Weekday
224,1991,8,3,Wednesday,Weekday
225,1991,9,3,Friday,Weekday
226,1991,9,3,Monday,Weekday
227,1991,9,3,Saturday,Weekend
228,1991,9,3,Sunday,Weekend
229,1991,9,3,Thursday,Weekday
230,1991,9,3,Tuesday,Weekday
231,1991,9,3,Wednesday,Weekday
232,1991,10,4,Friday,Weekday
233,1991,10,4,Monday,Weekday
234,1991,10,4,Saturday,Weekend
235,1991,10,4,Sunday,Weekend
236,1991,10,4,Thursday,Weekday
237,1991,10,4,Tuesday,Weekday
238,1991,10,4,Wednesday,Weekday
239,1991,11,4,Friday,Weekday
240,1991,11,4,Monday,Weekday
241,1991,11,4,Saturday,Weekend
242,1991,11,4,Sunday,Weekend
243,1991,11,4,Thursday,Weekday
244,1991,11,4,Tuesday,Weekday
245,1991,11,4,Wednesday,Weekday
246,1991,12,4,Friday,Weekday
247,1991,12,4,Monday,Weekday
248,1991,12,4,Saturday,Weekend
249,1991,12,4,Sunday,Weekend
250,1991,12,4,Thursday,Weekday
251,1991,12,4,Tuesday,Weekday
252,1991,12,4,Wednesday,Weekday
253,1992,1,1,Friday,Weekday
254,1992,1,1,Monday,Weekday
