location_id,state,lga_name,sa4_name,remoteness_area,population_2023_lga,population_2023_remoteness,dwelling_records
1,NSW,Wagga Wagga,Riverina,Inner Regional Australia,68716,4683975,28244.0
2,NSW,Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,Inner Regional Australia,68156,4683975,25523.0
3,Tas,Northern Midlands,Launceston and North East,Inner Regional Australia,14279,4683975,6444.0
4,NSW,Armidale Regional,New England and North West,Outer Regional Australia,,2119123,12955.0
5,Qld,Lockyer Valley,Toowoomba,Inner Regional Australia,43847,4683975,16162.0
6,SA,Wakefield,Barossa - Yorke - Mid North,Outer Regional Australia,6958,2119123,3348.0
7,WA,Unknown,Unknown,Unknown,,,
8,Qld,Southern Downs,Darling Downs - Maranoa,Inner Regional Australia,37444,4683975,17447.0
9,Tas,Brighton,Hobart,Inner Regional Australia,19998,4683975,7530.0
10,Tas,West Tamar,Launceston and North East,Outer Regional Australia,26039,2119123,11308.0
11,SA,Mid Murray,South Australia - South East,Outer Regional Australia,9496,2119123,7413.0
12,NSW,Blue Mountains,Sydney - Outer West and Blue Mountains,Major Cities of Australia,78446,19343743,35239.0
13,NSW,Upper Lachlan,Capital Region,Inner Regional Australia,8706,4683975,
14,SA,Wattle Range,South Australia - South East,Outer Regional Australia,12257,2119123,6114.0
15,Qld,Cairns,Cairns,Outer Regional Australia,175398,2119123,72620.0
16,NSW,Wollongong,Illawarra,Major Cities of Australia,219141,19343743,89476.0
17,NSW,Penrith,Sydney - Outer West and Blue Mountains,Major Cities of Australia,224483,19343743,81250.0
18,NSW,Upper Hunter,Hunter Valley exc Newcastle,Outer Regional Australia,14338,2119123,
19,Qld,South Burnett,Wide Bay,Outer Regional Australia,34290,2119123,16096.0
20,NSW,Mid-Western Regional,Central West,Outer Regional Australia,,2119123,12262.0
21,NSW,Canterbury-Bankstown,Sydney - Inner South West,Major Cities of Australia,379829,19343743,133438.0
22,Vic,Mitchell,Hume,Inner Regional Australia,53723,4683975,19590.0
23,NSW,Greater Hume,Murray,Outer Regional Australia,11445,2119123,
24,Qld,Southern Downs,Darling Downs - Maranoa,Outer Regional Australia,37444,2119123,17447.0
25,SA,Barossa,Barossa - Yorke - Mid North,Inner Regional Australia,26268,4683975,11044.0
26,NSW,Port Macquarie-Hastings,Mid North Coast,Inner Regional Australia,89596,4683975,40066.0
27,Qld,Douglas,Cairns,Outer Regional Australia,12828,2119123,6981.0
28,Qld,Mackay,Mackay - Isaac - Whitsunday,Outer Regional Australia,126907,2119123,52308.0
29,SA,Yankalilla,South Australia - South East,Inner Regional Australia,6100,4683975,4403.0
30,Qld,Logan,Logan - Beaudesert,Major Cities of Australia,377773,19343743,125977.0
31,Tas,Dorset,Launceston and North East,Outer Regional Australia,7001,2119123,3948.0
32,NSW,Armidale Regional,New England and North West,Inner Regional Australia,,4683975,12955.0
33,NSW,Nambucca Valley,Mid North Coast,Inner Regional Australia,20774,4683975,10016.0
34,NSW,Narromine,Far West and Orana,Outer Regional Australia,6443,2119123,2851.0
35,Qld,Fraser Coast,Wide Bay,Inner Regional Australia,117940,4683975,52621.0
36,SA,Unincorporated SA,South Australia - Outback,Very Remote Australia,3015,198024,2910.0
37,NSW,Shellharbour,Illawarra,Major Cities of Australia,79738,19343743,29884.0
38,NSW,Narrabri,New England and North West,Outer Regional Australia,12754,2119123,5997.0
39,Qld,Logan,Logan - Beaudesert,Inner Regional Australia,377773,4683975,125977.0
40,Qld,Cook,Queensland - Outback,Remote Australia,4761,304013,3163.0
41,NSW,Tenterfield,New England and North West,Outer Regional Australia,6973,2119123,3968.0
42,Vic,Greater Bendigo,Bendigo,Inner Regional Australia,124174,4683975,53173.0
43,NSW,Central Coast,Central Coast,Major Cities of Australia,,19343743,
44,NSW,Tamworth Regional,New England and North West,Outer Regional Australia,,2119123,27725.0
45,Vic,Whittlesea,Melbourne - North East,Major Cities of Australia,245029,19343743,82993.0
46,NSW,Hilltops,Capital Region,Inner Regional Australia,19255,4683975,9220.0
47,NSW,Forbes,Central West,Outer Regional Australia,9300,2119123,4373.0
48,Qld,Toowoomba,Toowoomba,Inner Regional Australia,181821,4683975,74054.0
49,NSW,Lake Macquarie,Newcastle and Lake Macquarie,Major Cities of Australia,219249,19343743,88908.0
50,Qld,Livingstone,Central Queensland,Remote Australia,41906,304013,17841.0
51,Tas,Northern Midlands,Launceston and North East,Outer Regional Australia,14279,2119123,6444.0
52,NSW,Blacktown,Sydney - Blacktown,Major Cities of Australia,426202,19343743,133984.0
53,NSW,Dubbo Regional,Far West and Orana,Inner Regional Australia,,4683975,22823.0
54,NSW,Balranald,Murray,Outer Regional Australia,2202,2119123,1091.0
55,Qld,Lockhart River,Queensland - Outback,Very Remote Australia,673,198024,228.0
56,Vic,Golden Plains,Ballarat,Inner Regional Australia,25818,4683975,9408.0
57,SA,Light,Barossa - Yorke - Mid North,Inner Regional Australia,16616,4683975,6046.0
58,Qld,Ipswich,Ipswich,Major Cities of Australia,251148,19343743,87352.0
59,Qld,Cassowary Coast,Cairns,Outer Regional Australia,29972,2119123,15123.0
60,SA,Tumby Bay,South Australia - Outback,Remote Australia,2906,304013,1681.0
61,NSW,Liverpool,Sydney - South West,Major Cities of Australia,247672,19343743,77895.0
62,NSW,Cumberland,Sydney - Parramatta,Major Cities of Australia,245323,19343743,83189.0
63,NSW,Muswellbrook,Hunter Valley exc Newcastle,Inner Regional Australia,16778,4683975,7333.0
64,Qld,Moreton Bay,Moreton Bay - North,Inner Regional Australia,510104,4683975,188327.0
65,NSW,Ballina,Richmond - Tweed,Inner Regional Australia,47279,4683975,20889.0
66,Vic,Unknown,Unknown,Unknown,,,
67,NSW,Kyogle,Richmond - Tweed,Inner Regional Australia,9468,4683975,4688.0
68,Qld,Bundaberg,Wide Bay,Inner Regional Australia,104166,4683975,46081.0
69,Vic,Melbourne,Melbourne - Inner,Major Cities of Australia,177396,19343743,103368.0
70,Qld,Brisbane,Brisbane - South,Major Cities of Australia,1323162,19343743,519431.0
71,NSW,Snowy Valleys,Riverina,Outer Regional Australia,14935,2119123,7075.0
72,Qld,Whitsunday,Mackay - Isaac - Whitsunday,Outer Regional Australia,39712,2119123,18043.0
73,NSW,Fairfield,Sydney - South West,Major Cities of Australia,209742,19343743,67658.0
74,NSW,Yass Valley,Capital Region,Inner Regional Australia,17477,4683975,6823.0
75,Qld,Central Highlands (Qld),Central Queensland,Remote Australia,28973,304013,14180.0
76,NSW,The Hills,Sydney - Baulkham Hills and Hawkesbury,Major Cities of Australia,207959,19343743,
77,SA,Salisbury,Adelaide - North,Major Cities of Australia,149214,19343743,57117.0
78,NSW,Port Stephens,Hunter Valley exc Newcastle,Inner Regional Australia,77748,4683975,35699.0
79,Vic,Macedon Ranges,Melbourne - North West,Inner Regional Australia,52920,4683975,20630.0
80,Vic,Moyne,Warrnambool and South West,Inner Regional Australia,17610,4683975,8550.0
81,Vic,Cardinia,Melbourne - South East,Major Cities of Australia,126960,19343743,43533.0
82,Vic,East Gippsland,Latrobe - Gippsland,Outer Regional Australia,49179,2119123,26078.0
83,NSW,Hornsby,Sydney - Baulkham Hills and Hawkesbury,Major Cities of Australia,154072,19343743,55952.0
84,Qld,Mareeba,Queensland - Outback,Very Remote Australia,23702,198024,10199.0
85,Qld,Rockhampton,Central Queensland,Inner Regional Australia,84517,4683975,35813.0
86,NSW,Mid-Coast,Mid North Coast,Inner Regional Australia,97909,4683975,50474.0
87,Qld,Ipswich,Ipswich,Inner Regional Australia,251148,4683975,87352.0
88,Vic,Glenelg,Warrnambool and South West,Outer Regional Australia,20022,2119123,10173.0
89,Qld,Western Downs,Darling Downs - Maranoa,Outer Regional Australia,34991,2119123,16165.0
90,SA,Port Adelaide Enfield,Adelaide - West,Major Cities of Australia,138585,19343743,56716.0
91,NSW,Cabonne,Central West,Outer Regional Australia,13880,2119123,5895.0
92,Qld,Gold Coast,Gold Coast,Major Cities of Australia,666087,19343743,270761.0
93,ACT,Unincorporated ACT,Australian Capital Territory,Major Cities of Australia,466566,19343743,187156.0
94,Vic,Frankston,Mornington Peninsula,Major Cities of Australia,142826,19343743,58890.0
95,NSW,Moree Plains,New England and North West,Outer Regional Australia,12873,2119123,6230.0
96,NSW,Parramatta,Sydney - Parramatta,Major Cities of Australia,269145,19343743,106654.0
97,Tas,Meander Valley,Launceston and North East,Outer Regional Australia,21449,2119123,9276.0
98,NSW,Queanbeyan-Palerang Regional,Capital Region,Major Cities of Australia,,19343743,26549.0
99,NSW,Snowy Monaro Regional,Capital Region,Outer Regional Australia,,2119123,12251.0
100,NSW,Federation,Murray,Outer Regional Australia,12939,2119123,6546.0
101,Qld,Brisbane,Brisbane Inner City,Major Cities of Australia,1323162,19343743,519431.0
102,NSW,Cowra,Central West,Inner Regional Australia,12659,4683975,6267.0
103,NSW,Goulburn Mulwaree,Capital Region,Inner Regional Australia,32710,4683975,14739.0
104,Qld,Gympie,Wide Bay,Inner Regional Australia,56166,4683975,24767.0
105,Qld,Moreton Bay,Moreton Bay - South,Major Cities of Australia,510104,19343743,188327.0
106,NSW,Willoughby,Sydney - North Sydney and Hornsby,Major Cities of Australia,77874,19343743,31175.0
107,NSW,Shoalhaven,Capital Region,Inner Regional Australia,109895,4683975,58799.0
108,NSW,Queanbeyan-Palerang Regional,Capital Region,Inner Regional Australia,,4683975,26549.0
109,Vic,Nillumbik,Melbourne - North East,Inner Regional Australia,63264,4683975,22406.0
110,NSW,Wollongong,Illawarra,Inner Regional Australia,219141,4683975,89476.0
111,Qld,South Burnett,Wide Bay,Inner Regional Australia,34290,4683975,16096.0
112,SA,Tatiara,South Australia - South East,Remote Australia,7066,304013,3194.0
113,NSW,Tweed,Richmond - Tweed,Inner Regional Australia,98967,4683975,44661.0
114,NSW,Mid-Coast,Mid North Coast,Outer Regional Australia,97909,2119123,50474.0
115,Vic,Ararat,North West,Inner Regional Australia,11683,4683975,5509.0
116,Vic,Colac Otway,Warrnambool and South West,Inner Regional Australia,22273,4683975,12460.0
117,Qld,McKinlay,Queensland - Outback,Very Remote Australia,849,198024,497.0
